Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
10;1;1 do 10 000 000;3;0.0133
10;2;1 do 10 000 000;3;0.0137
10;3;1 do 10 000 000;3;0.014
10;4;1 do 10 000 000;3;0.014
10;5;1 do 10 000 000;3;0.0139
11;1;1 do 10;3;0.015
11;2;1 do 10;3;0.0252
11;3;1 do 10;3;0.0208
11;4;1 do 10;3;0.0135
11;5;1 do 10;3;0.0148
11;1;1 do 10 000;3;0.0211
11;2;1 do 10 000;3;0.0179
11;3;1 do 10 000;3;0.0135
11;4;1 do 10 000;3;0.0141
11;5;1 do 10 000;3;0.0147
11;1;1 do 10 000 000;3;0.0134
11;2;1 do 10 000 000;3;0.0142
11;3;1 do 10 000 000;3;0.0137
11;4;1 do 10 000 000;3;0.0136
11;5;1 do 10 000 000;3;0.0146
12;1;1 do 10;3;0.0146
12;2;1 do 10;3;0.015
12;3;1 do 10;3;0.0152
12;4;1 do 10;3;0.0152
12;5;1 do 10;3;0.0136
12;1;1 do 10 000;3;0.0158
12;2;1 do 10 000;3;0.0143
12;3;1 do 10 000;3;0.0139
12;4;1 do 10 000;3;0.0147
12;5;1 do 10 000;3;0.0139
12;1;1 do 10 000 000;3;0.0138
12;2;1 do 10 000 000;3;0.0137
12;3;1 do 10 000 000;3;0.0141
12;4;1 do 10 000 000;3;0.0142
12;5;1 do 10 000 000;3;0.015
13;1;1 do 10;3;0.0137
13;2;1 do 10;3;0.0134
13;3;1 do 10;3;0.0141
13;4;1 do 10;3;0.0131
13;5;1 do 10;3;0.0136
13;1;1 do 10 000;3;0.0131
13;2;1 do 10 000;3;0.0131
13;3;1 do 10 000;3;0.0134
13;4;1 do 10 000;3;0.0217
13;5;1 do 10 000;3;0.0138
13;1;1 do 10 000 000;3;0.0132
13;2;1 do 10 000 000;3;0.0139
13;3;1 do 10 000 000;3;0.0134
13;4;1 do 10 000 000;3;0.0133
13;5;1 do 10 000 000;3;0.0132
14;1;1 do 10;3;0.0136
14;2;1 do 10;3;0.0135
14;3;1 do 10;3;0.0131
14;4;1 do 10;3;0.0133
14;5;1 do 10;3;0.0135
14;1;1 do 10 000;3;0.0138
14;2;1 do 10 000;3;0.0136
14;3;1 do 10 000;3;0.0134
14;4;1 do 10 000;3;0.0133
14;5;1 do 10 000;3;0.0131
14;1;1 do 10 000 000;3;0.013
14;2;1 do 10 000 000;3;0.0135
14;3;1 do 10 000 000;3;0.0133
14;4;1 do 10 000 000;3;0.0132
14;5;1 do 10 000 000;3;0.0144
15;1;1 do 10;3;0.0136
15;2;1 do 10;3;0.0134
15;3;1 do 10;3;0.0139
15;4;1 do 10;3;0.0133
15;5;1 do 10;3;0.0144
15;1;1 do 10 000;3;0.0135
15;2;1 do 10 000;3;0.0132
15;3;1 do 10 000;3;0.0134
15;4;1 do 10 000;3;0.0145
15;5;1 do 10 000;3;0.0139
15;1;1 do 10 000 000;3;0.013
15;2;1 do 10 000 000;3;0.0131
15;3;1 do 10 000 000;3;0.0136
15;4;1 do 10 000 000;3;0.0139
15;5;1 do 10 000 000;3;0.0134
16;1;1 do 10;3;0.0135
16;2;1 do 10;3;0.0138
16;3;1 do 10;3;0.0144
16;4;1 do 10;3;0.0136
16;5;1 do 10;3;0.0138
16;1;1 do 10 000;3;0.0137
16;2;1 do 10 000;3;0.0135
16;3;1 do 10 000;3;0.0141
16;4;1 do 10 000;3;0.0138
16;5;1 do 10 000;3;0.0139
16;1;1 do 10 000 000;3;0.0166
16;2;1 do 10 000 000;3;0.0136
16;3;1 do 10 000 000;3;0.0136
16;4;1 do 10 000 000;3;0.0193
16;5;1 do 10 000 000;3;0.0135
17;1;1 do 10;3;0.0132
17;2;1 do 10;3;0.0141
17;3;1 do 10;3;0.0131
17;4;1 do 10;3;0.0133
17;5;1 do 10;3;0.0131
17;1;1 do 10 000;3;0.0132
17;2;1 do 10 000;3;0.0138
17;3;1 do 10 000;3;0.0133
17;4;1 do 10 000;3;0.0134
17;5;1 do 10 000;3;0.0133
17;1;1 do 10 000 000;3;0.0142
17;2;1 do 10 000 000;3;0.013
17;3;1 do 10 000 000;3;0.0135
17;4;1 do 10 000 000;3;0.0135
17;5;1 do 10 000 000;3;0.0131
18;1;1 do 10;3;0.0149
18;2;1 do 10;3;0.0137
18;3;1 do 10;3;0.0137
18;4;1 do 10;3;0.0137
18;5;1 do 10;3;0.0138
18;1;1 do 10 000;3;0.013
18;2;1 do 10 000;3;0.0135
18;3;1 do 10 000;3;0.0134
18;4;1 do 10 000;3;0.0132
18;5;1 do 10 000;3;0.0139
18;1;1 do 10 000 000;3;0.0132
18;2;1 do 10 000 000;3;0.0133
18;3;1 do 10 000 000;3;0.0134
18;4;1 do 10 000 000;3;0.0133
18;5;1 do 10 000 000;3;0.019
19;1;1 do 10;3;0.0232
19;2;1 do 10;3;0.0165
19;3;1 do 10;3;0.0227
19;4;1 do 10;3;0.0154
19;5;1 do 10;3;0.0244
19;1;1 do 10 000;3;0.0145
19;2;1 do 10 000;3;0.0154
19;3;1 do 10 000;3;0.0146
19;4;1 do 10 000;3;0.0143
19;5;1 do 10 000;3;0.014
19;1;1 do 10 000 000;3;0.0137
19;2;1 do 10 000 000;3;0.0141
19;3;1 do 10 000 000;3;0.0162
19;4;1 do 10 000 000;3;0.014
19;5;1 do 10 000 000;3;0.0146
20;1;1 do 10;3;0.0174
20;2;1 do 10;3;0.0184
20;3;1 do 10;3;0.0177
20;4;1 do 10;3;0.0418
20;5;1 do 10;3;0.0158
20;1;1 do 10 000;3;0.0147
20;2;1 do 10 000;3;0.0157
20;3;1 do 10 000;3;0.0161
