Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
18;1;1 do 10 000;4;0.0312
18;1;1 do 10 000 000;4;0.0414
19;1;1 do 10;4;0.0361
19;1;1 do 10 000;4;0.0455
19;1;1 do 10 000 000;4;0.0485
20;1;1 do 10;4;0.03
20;1;1 do 10 000;4;0.0428
20;1;1 do 10 000 000;4;0.0439
21;1;1 do 10;4;0.0439
21;1;1 do 10 000;4;0.0442
21;1;1 do 10 000 000;4;0.0433
22;1;1 do 10;4;0.0341
22;1;1 do 10 000;4;0.0546
22;1;1 do 10 000 000;4;0.0528
23;1;1 do 10;4;0.0428
23;1;1 do 10 000;4;0.0425
23;1;1 do 10 000 000;4;0.0272
24;1;1 do 10;4;0.0527
24;1;1 do 10 000;4;0.0436
24;1;1 do 10 000 000;4;0.0464
25;1;1 do 10;4;0.0249
25;1;1 do 10 000;4;0.0423
25;1;1 do 10 000 000;4;0.0414
26;1;1 do 10;4;0.0285
26;1;1 do 10 000;4;0.0451
26;1;1 do 10 000 000;4;0.0724
27;1;1 do 10;4;0.0643
27;1;1 do 10 000;4;0.0433
27;1;1 do 10 000 000;4;0.0424
28;1;1 do 10;4;0.0398
28;1;1 do 10 000;4;0.0602
28;1;1 do 10 000 000;4;0.0487
29;1;1 do 10;4;0.0308
29;1;1 do 10 000;4;0.0298
29;1;1 do 10 000 000;4;0.0447
30;1;1 do 10;4;0.0466
30;1;1 do 10 000;4;0.0523
30;1;1 do 10 000 000;4;0.0361
31;1;1 do 10;4;0.045
31;1;1 do 10 000;4;0.0376
31;1;1 do 10 000 000;4;0.0423
32;1;1 do 10;4;0.0497
32;1;1 do 10 000;4;0.0461
32;1;1 do 10 000 000;4;0.0426
33;1;1 do 10;4;0.0278
33;1;1 do 10 000;4;0.0434
33;1;1 do 10 000 000;4;0.045
34;1;1 do 10;4;0.0269
34;1;1 do 10 000;4;0.0258
34;1;1 do 10 000 000;4;0.0454
35;1;1 do 10;4;0.0271
35;1;1 do 10 000;4;0.0432
35;1;1 do 10 000 000;4;0.026
36;1;1 do 10;4;0.0262
36;1;1 do 10 000;4;0.0373
36;1;1 do 10 000 000;4;0.0254
37;1;1 do 10;4;0.0267
37;1;1 do 10 000;4;0.0362
37;1;1 do 10 000 000;4;0.0344
38;1;1 do 10;4;0.0261
38;1;1 do 10 000;4;0.0544
38;1;1 do 10 000 000;4;0.0495
39;1;1 do 10;4;0.0518
39;1;1 do 10 000;4;0.0493
39;1;1 do 10 000 000;4;0.0426
40;1;1 do 10;4;0.0513
40;1;1 do 10 000;4;0.05
40;1;1 do 10 000 000;4;0.0432
41;1;1 do 10;4;0.0761
41;1;1 do 10 000;4;0.0532
41;1;1 do 10 000 000;4;0.0421
42;1;1 do 10;4;0.0282
42;1;1 do 10 000;4;0.0257
42;1;1 do 10 000 000;4;0.0402
43;1;1 do 10;4;0.0286
43;1;1 do 10 000;4;0.0445
43;1;1 do 10 000 000;4;0.0421
44;1;1 do 10;4;0.0519
44;1;1 do 10 000;4;0.0504
44;1;1 do 10 000 000;4;0.0502
45;1;1 do 10;4;0.027
45;1;1 do 10 000;4;0.0455
45;1;1 do 10 000 000;4;0.0333
46;1;1 do 10;4;0.0287
46;1;1 do 10 000;4;0.0428
46;1;1 do 10 000 000;4;0.0377
47;1;1 do 10;4;0.0701
47;1;1 do 10 000;4;0.0491
47;1;1 do 10 000 000;4;0.0408
48;1;1 do 10;4;0.0525
48;1;1 do 10 000;4;0.0501
48;1;1 do 10 000 000;4;0.0431
49;1;1 do 10;4;0.0641
49;1;1 do 10 000;4;0.0559
49;1;1 do 10 000 000;4;0.0477
50;1;1 do 10;4;0.0551
50;1;1 do 10 000;4;0.0407
50;1;1 do 10 000 000;4;0.0482
51;1;1 do 10;4;0.05
51;1;1 do 10 000;4;0.0422
51;1;1 do 10 000 000;4;0.0547
52;1;1 do 10;4;0.0437
52;1;1 do 10 000;4;0.05
52;1;1 do 10 000 000;4;0.0453
53;1;1 do 10;4;0.0565
53;1;1 do 10 000;4;0.0546
53;1;1 do 10 000 000;4;0.0492
54;1;1 do 10;4;0.0456
54;1;1 do 10 000;4;0.0439
54;1;1 do 10 000 000;4;0.0286
55;1;1 do 10;4;0.0474
55;1;1 do 10 000;4;0.0467
55;1;1 do 10 000 000;4;0.0424
56;1;1 do 10;4;0.0273
56;1;1 do 10 000;4;0.0516
56;1;1 do 10 000 000;4;0.0419
57;1;1 do 10;4;0.077
57;1;1 do 10 000;4;0.0419
57;1;1 do 10 000 000;4;0.0472
58;1;1 do 10;4;0.8789
58;1;1 do 10 000;4;0.0665
58;1;1 do 10 000 000;4;0.0487
59;1;1 do 10;4;0.0492
59;1;1 do 10 000;4;0.0445
59;1;1 do 10 000 000;4;0.0433
60;1;1 do 10;4;0.0282
60;1;1 do 10 000;4;0.058
60;1;1 do 10 000 000;4;0.0492
61;1;1 do 10;4;0.0504
61;1;1 do 10 000;4;0.0737
61;1;1 do 10 000 000;4;0.027
62;1;1 do 10;4;0.0411
62;1;1 do 10 000;4;0.0435
62;1;1 do 10 000 000;4;0.0452
63;1;1 do 10;4;0.5662
63;1;1 do 10 000;4;0.0501
63;1;1 do 10 000 000;4;0.0433
64;1;1 do 10;4;0.0545
64;1;1 do 10 000;4;0.077
64;1;1 do 10 000 000;4;0.0549
65;1;1 do 10;4;0.053
65;1;1 do 10 000;4;0.0511
65;1;1 do 10 000 000;4;0.0408
66;1;1 do 10;4;0.0576
66;1;1 do 10 000;4;0.0508
66;1;1 do 10 000 000;4;0.0488
67;1;1 do 10;4;0.0441
67;1;1 do 10 000;4;0.0426
67;1;1 do 10 000 000;4;0.0353
68;1;1 do 10;4;0.034
68;1;1 do 10 000;4;0.0469
68;1;1 do 10 000 000;4;0.0443
69;1;1 do 10;4;0.0414
69;1;1 do 10 000;4;0.0445
69;1;1 do 10 000 000;4;0.0478
70;1;1 do 10;4;0.0456
70;1;1 do 10 000;4;0.028
70;1;1 do 10 000 000;4;0.0461
71;1;1 do 10;4;0.1947
71;1;1 do 10 000;4;0.0499
71;1;1 do 10 000 000;4;0.031
72;1;1 do 10;4;0.0453
72;1;1 do 10 000;4;0.0556
72;1;1 do 10 000 000;4;0.0532
73;1;1 do 10;4;0.0524
73;1;1 do 10 000;4;0.0492
73;1;1 do 10 000 000;4;0.0457
74;1;1 do 10;4;0.035
74;1;1 do 10 000;4;0.0553
74;1;1 do 10 000 000;4;0.0485
75;1;1 do 10;4;0.0441
75;1;1 do 10 000;4;0.0472
75;1;1 do 10 000 000;4;0.0518
76;1;1 do 10;4;0.0571
76;1;1 do 10 000;4;0.0522
76;1;1 do 10 000 000;4;0.0452
77;1;1 do 10;4;0.0447
77;1;1 do 10 000;4;0.0666
77;1;1 do 10 000 000;4;0.0395
78;1;1 do 10;4;0.0472
78;1;1 do 10 000;4;0.0499
78;1;1 do 10 000 000;4;0.0536
79;1;1 do 10;4;0.0474
79;1;1 do 10 000;4;0.0448
79;1;1 do 10 000 000;4;0.117
80;1;1 do 10;4;0.064
80;1;1 do 10 000;4;0.0548
80;1;1 do 10 000 000;4;0.0778
81;1;1 do 10;4;0.0604
81;1;1 do 10 000;4;0.056
81;1;1 do 10 000 000;4;0.1565
82;1;1 do 10;4;0.0399
82;1;1 do 10 000;4;0.0493
82;1;1 do 10 000 000;4;0.0273
83;1;1 do 10;4;0.0505
83;1;1 do 10 000;4;0.0482
83;1;1 do 10 000 000;4;0.0436
84;1;1 do 10;4;0.0277
84;1;1 do 10 000;4;0.0453
84;1;1 do 10 000 000;4;0.0494
85;1;1 do 10;4;0.0291
85;1;1 do 10 000;4;0.0516
85;1;1 do 10 000 000;4;0.0467
86;1;1 do 10;4;0.0458
86;1;1 do 10 000;4;0.0724
86;1;1 do 10 000 000;4;0.0448
87;1;1 do 10;4;0.0305
87;1;1 do 10 000;4;0.0496
87;1;1 do 10 000 000;4;0.045
88;1;1 do 10;4;0.0285
88;1;1 do 10 000;4;0.0436
88;1;1 do 10 000 000;4;0.1804
89;1;1 do 10;4;0.0325
89;1;1 do 10 000;4;0.0479
89;1;1 do 10 000 000;4;0.0513
90;1;1 do 10;4;0.0483
90;1;1 do 10 000;4;0.0494
90;1;1 do 10 000 000;4;0.0533
91;1;1 do 10;4;0.0501
91;1;1 do 10 000;4;0.0415
91;1;1 do 10 000 000;4;0.0397
92;1;1 do 10;4;0.047
92;1;1 do 10 000;4;0.0508
92;1;1 do 10 000 000;4;0.0431
93;1;1 do 10;4;0.0481
93;1;1 do 10 000;4;0.0528
93;1;1 do 10 000 000;4;0.0444
94;1;1 do 10;4;0.0532
94;1;1 do 10 000;4;0.0495
94;1;1 do 10 000 000;4;0.0487
95;1;1 do 10;4;0.0484
95;1;1 do 10 000;4;0.0478
95;1;1 do 10 000 000;4;0.0542
96;1;1 do 10;4;0.0528
96;1;1 do 10 000;4;0.0459
96;1;1 do 10 000 000;4;0.0325
97;1;1 do 10;4;0.0489
97;1;1 do 10 000;4;0.0458
97;1;1 do 10 000 000;4;0.0448
98;1;1 do 10;4;0.0323
98;1;1 do 10 000;4;0.0536
98;1;1 do 10 000 000;4;0.0296
99;1;1 do 10;4;0.0508
99;1;1 do 10 000;4;0.039
99;1;1 do 10 000 000;4;0.0547
100;1;1 do 10;4;0.046
100;1;1 do 10 000;4;0.0346
100;1;1 do 10 000 000;4;0.0455
1;1;1 do 10;5;0.0803
1;1;1 do 10 000;5;0.0789
1;1;1 do 10 000 000;5;0.0798
2;1;1 do 10;5;0.0903
2;1;1 do 10 000;5;0.0939
2;1;1 do 10 000 000;5;0.079
3;1;1 do 10;5;0.0794
3;1;1 do 10 000;5;0.0788
3;1;1 do 10 000 000;5;0.0793
4;1;1 do 10;5;0.0973
4;1;1 do 10 000;5;0.0899
4;1;1 do 10 000 000;5;0.0649
5;1;1 do 10;5;0.0907
5;1;1 do 10 000;5;0.089
5;1;1 do 10 000 000;5;0.0861
6;1;1 do 10;5;0.0562
6;1;1 do 10 000;5;0.1055
6;1;1 do 10 000 000;5;0.0864
7;1;1 do 10;5;0.0903
7;1;1 do 10 000;5;0.0882
7;1;1 do 10 000 000;5;0.0644
8;1;1 do 10;5;0.0476
8;1;1 do 10 000;5;0.0818
8;1;1 do 10 000 000;5;0.0869
9;1;1 do 10;5;0.0624
9;1;1 do 10 000;5;0.2093
9;1;1 do 10 000 000;5;0.0843
10;1;1 do 10;5;0.08
10;1;1 do 10 000;5;0.0872
10;1;1 do 10 000 000;5;0.0792
11;1;1 do 10;5;0.0509
11;1;1 do 10 000;5;0.0591
11;1;1 do 10 000 000;5;0.07
12;1;1 do 10;5;0.0833
12;1;1 do 10 000;5;0.0815
12;1;1 do 10 000 000;5;0.0478
13;1;1 do 10;5;0.0503
13;1;1 do 10 000;5;0.076
13;1;1 do 10 000 000;5;0.0672
14;1;1 do 10;5;0.0798
14;1;1 do 10 000;5;0.1005
14;1;1 do 10 000 000;5;0.0785
15;1;1 do 10;5;0.0875
15;1;1 do 10 000;5;0.0875
15;1;1 do 10 000 000;5;0.0883
16;1;1 do 10;5;0.0877
16;1;1 do 10 000;5;0.0515
16;1;1 do 10 000 000;5;0.0487
17;1;1 do 10;5;0.1
17;1;1 do 10 000;5;0.087
17;1;1 do 10 000 000;5;0.0914
18;1;1 do 10;5;0.0648
18;1;1 do 10 000;5;0.087
18;1;1 do 10 000 000;5;0.0687
19;1;1 do 10;5;0.1043
19;1;1 do 10 000;5;0.0847
19;1;1 do 10 000 000;5;0.0846
20;1;1 do 10;5;0.0866
20;1;1 do 10 000;5;0.0656
20;1;1 do 10 000 000;5;0.0494
21;1;1 do 10;5;0.0918
21;1;1 do 10 000;5;0.0593
21;1;1 do 10 000 000;5;0.0748
22;1;1 do 10;5;0.0837
22;1;1 do 10 000;5;0.0871
22;1;1 do 10 000 000;5;0.0775
23;1;1 do 10;5;0.09
23;1;1 do 10 000;5;0.0598
23;1;1 do 10 000 000;5;0.0705
24;1;1 do 10;5;0.0752
24;1;1 do 10 000;5;0.0522
24;1;1 do 10 000 000;5;0.0746
25;1;1 do 10;5;0.099
25;1;1 do 10 000;5;0.092
25;1;1 do 10 000 000;5;0.0823
26;1;1 do 10;5;0.0811
26;1;1 do 10 000;5;0.0481
26;1;1 do 10 000 000;5;0.081
27;1;1 do 10;5;0.1058
27;1;1 do 10 000;5;0.0879
27;1;1 do 10 000 000;5;0.0888
28;1;1 do 10;5;0.0811
28;1;1 do 10 000;5;0.0941
28;1;1 do 10 000 000;5;0.083
29;1;1 do 10;5;0.0897
29;1;1 do 10 000;5;0.0827
29;1;1 do 10 000 000;5;0.0969
30;1;1 do 10;5;0.0844
30;1;1 do 10 000;5;0.0901
30;1;1 do 10 000 000;5;0.0822
31;1;1 do 10;5;0.0835
31;1;1 do 10 000;5;0.0799
31;1;1 do 10 000 000;5;0.0764
32;1;1 do 10;5;0.0841
32;1;1 do 10 000;5;0.1283
32;1;1 do 10 000 000;5;0.0866
33;1;1 do 10;5;0.2073
33;1;1 do 10 000;5;0.0771
33;1;1 do 10 000 000;5;0.078
34;1;1 do 10;5;0.0888
34;1;1 do 10 000;5;0.2001
34;1;1 do 10 000 000;5;0.101
35;1;1 do 10;5;0.0696
35;1;1 do 10 000;5;0.1408
35;1;1 do 10 000 000;5;0.0804
36;1;1 do 10;5;0.0867
36;1;1 do 10 000;5;0.0848
36;1;1 do 10 000 000;5;0.0801
37;1;1 do 10;5;0.0869
37;1;1 do 10 000;5;0.2141
37;1;1 do 10 000 000;5;0.0863
38;1;1 do 10;5;0.0883
38;1;1 do 10 000;5;0.0617
38;1;1 do 10 000 000;5;0.0866
39;1;1 do 10;5;0.0951
39;1;1 do 10 000;5;0.0785
39;1;1 do 10 000 000;5;0.0584
40;1;1 do 10;5;0.0682
40;1;1 do 10 000;5;0.0837
40;1;1 do 10 000 000;5;0.0862
41;1;1 do 10;5;0.0876
41;1;1 do 10 000;5;0.0898
41;1;1 do 10 000 000;5;0.2073
42;1;1 do 10;5;0.0942
42;1;1 do 10 000;5;0.0913
42;1;1 do 10 000 000;5;0.0771
43;1;1 do 10;5;0.1112
43;1;1 do 10 000;5;0.3527
